indice_tiempo,par_origen_destino,viajes,asientos,pasajeros
2019,Mendoza - Merlo,72,3903,3462
2019,Mendoza - Oran,223,12403,11607
2019,Mendoza - Rincon De Los Sauces,65,1187,581
2019,Mendoza - San Juan,389,13528,10500
2019,Mendoza - San Luis,103,3802,3382
2019,Mendoza - Termas De Rio Hondo,127,7374,5748
2019,Mendoza - Villa Carlos Paz,81,4120,3609
2019,Mercedes - Ciudad Autonoma De Buenos Aires,169,6203,5138
2019,Mercedes - Lomas De Zamora,99,3259,1892
2019,Merlo - Ciudad Autonoma De Buenos Aires,433,14719,12496
2019,Merlo - Dique La Vina,113,2973,2494
2019,Merlo - Mina Clavero,52,1989,1721
2019,Merlo - Rosario,56,2753,2269
2019,Merlo - San Luis,133,4563,4122
2019,Merlo - Villa Cura Brochero,114,4454,3647
2019,Mina Alumbrera - San Fernando Del Valle De Catamarca,70,3094,1571
2019,Mina Alumbrera - San Miguel De Tucuman,146,5526,2824
2019,Miramar - Ciudad Autonoma De Buenos Aires,69,1679,1179
2019,Monte Grande - Ciudad Autonoma De Buenos Aires,60,2474,2195
2019,Moreno - Ciudad Autonoma De Buenos Aires,103,4753,4181
2019,Moron - Ciudad Autonoma De Buenos Aires,52,2498,1722
2019,Navarro - Ciudad Autonoma De Buenos Aires,109,3245,3012
2019,Necochea - Ciudad Autonoma De Buenos Aires,122,5098,4337
2019,Neuquen - Allen,137,4028,3109
2019,Neuquen - Anelo,695,27502,19954
2019,Neuquen - Catriel,60,1598,1321
2019,Neuquen - Cinco Saltos,50,682,596
2019,Neuquen - Cipolletti,167,3780,2878
2019,Neuquen - Ciudad Autonoma De Buenos Aires,152,7137,5789
2019,Neuquen - Fernandez Oro,87,1364,1133
2019,Neuquen - General Roca,90,2785,2242
2019,Neuquen - Loma Campana,310,14208,12186
2019,Neuquen - Malargue,109,1737,929
2019,Neuquen - Mendoza,68,1989,1458
2019,Neuquen - Paraje Loma Campana,169,8424,7860
2019,Neuquen - Paraje Sierras Blancas,93,2977,2045
2019,Neuquen - Pje Loma Campana,90,4119,3836
2019,Neuquen - Pje Sierras Blancas,64,2008,1382
2019,Neuquen - Rincon De Los Sauces,66,2598,1966
2019,Neuquen - San Carlos De Bariloche,94,3658,2986
2019,Neuquen - San Isidro,90,5549,4977
2019,Neuquen - Yac Entre Lomas,91,2011,1523
2019,Nogoya - Ciudad Autonoma De Buenos Aires,50,1370,1139
2019,Olavarria - Ciudad Autonoma De Buenos Aires,136,4606,3885
2019,Oran - Ciudad,59,3532,2689
2019,Oran - Ciudad Autonoma De Buenos Aires,144,8349,5373
2019,Oran - Mendoza,258,14360,10673
2019,Pablo Nogues - Mar Del Plata,72,4244,4150
2019,Pablo Nogues - San Carlos De Bariloche,100,5787,5434
2019,Pacheco - Ciudad Autonoma De Buenos Aires,49,2519,1815
2019,Parana - Ciudad Autonoma De Buenos Aires,460,23668,19221
2019,Parana - Cordoba,52,2145,1860
2019,Parana - Lomas De Zamora,142,7903,5904
2019,Parana - Mendoza,58,3230,2823
2019,Parana - Merlo,69,4019,3457
2019,Parana - Oran,48,2765,1455
2019,Parana - Rosario,309,13774,11698
2019,Parana - Salta,85,4719,4149
2019,Parana - San Carlos De Bariloche,57,3262,2973
2019,Parana - Santa Fe,147,5671,4877
2019,Parana - Sauce Viejo,185,3769,2757
2019,Parana - Villa Carlos Paz,78,4466,4062
2019,Pehuajo - Ciudad Autonoma De Buenos Aires,88,1957,1441
2019,Perez Millan - Santa Elena,74,1110,1091
2019,Pergamino - Ciudad Autonoma De Buenos Aires,410,10849,9014
2019,Pergamino - Rosario,218,4136,3293
2019,Perito Moreno - Ciudad Autonoma De Buenos Aires,79,3397,2001
2019,Perito Moreno - Comodoro Rivadavia,234,11596,7201
2019,Perito Moreno - La Quiaca,80,3440,2493
2019,Pilar - Ciudad Autonoma De Buenos Aires,245,7809,4814
2019,Plottier - Anelo,140,5148,4483
2019,Plottier - El Orejano,66,2706,2186
2019,Plottier - Malargue,53,763,313
2019,Posadas - Ciudad Autonoma De Buenos Aires,376,15049,13988
2019,Posadas - Eldorado,48,1729,1212
2019,Posadas - Ituzaingo,89,4320,3265
2019,Posadas - Puerto Iguazu,49,1562,1195
2019,Posadas - Resistencia,58,2225,2015
2019,Posadas - Salta,110,6087,5615
2019,Puerto Madryn - Ciudad Autonoma De Buenos Aires,54,2207,1745
2019,Puerto San Julian - Comodoro Rivadavia,101,3905,1962
2019,Punta Alta - Ciudad Autonoma De Buenos Aires,49,2779,2326
2019,Purmamarca - Salta,51,1020,794
2019,Quilmes - Ciudad Autonoma De Buenos Aires,154,7800,6099
2019,Quilmes - Munro,106,2014,1059
2019,Rafaela - Ciudad Autonoma De Buenos Aires,147,7843,6401
2019,Rafaela - Parana,83,4187,3408
2019,Ramallo - Ciudad Autonoma De Buenos Aires,73,2711,2489
2019,Ramos Mejia - Ciudad Autonoma De Buenos Aires,138,3159,2872
2019,Rauch - Ciudad Autonoma De Buenos Aires,105,2332,1326
2019,Rawson - Ciudad Autonoma De Buenos Aires,77,4160,3473
2019,Reconquista - Formosa,102,4069,3901
2019,Resistencia - Ciudad Autonoma De Buenos Aires,813,44491,38813
2019,Resistencia - Corrientes,59,2318,1885
2019,Resistencia - Formosa,65,2947,2533
2019,Resistencia - Itati,123,6102,5870
2019,Resistencia - Paso De Los Libres,77,4224,3516
2019,Resistencia - Posadas,416,23819,21447
2019,Resistencia - Puerto Iguazu,51,2834,2364
2019,Resistencia - Villa Carlos Paz,69,3944,3431
2019,Rincon De Los Sauces - Mendoza,51,943,380
2019,Rio Cuarto - Ciudad Autonoma De Buenos Aires,297,15130,13041
2019,Rio Tercero - Ciudad Autonoma De Buenos Aires,57,3307,2869
2019,Roque Saenz Peña - Ciudad Autonoma De Buenos Aires,319,13519,11700
2019,Roque Saenz Peña - Formosa,64,3541,2759
2019,Roque Saenz Peña - Posadas,122,6400,5678
2019,Rosario - Buenos Aires,52,1107,926
2019,Rosario - Ciudad Autonoma De Buenos Aires,2771,131516,103025
2019,Rosario - Colon,118,5975,4939
2019,Rosario - Cordoba,162,7048,5751
2019,Rosario - Escobar,185,9133,7817
2019,Rosario - Ezeiza,308,9399,5167
2019,Rosario - Florencio Varela,52,2378,2039
2019,Rosario - La Plata,150,6616,5967
2019,Rosario - Lomas De Zamora,866,50616,37111
2019,Rosario - Lujan,124,5128,4657
2019,Rosario - Machagai,84,4939,4295
2019,Rosario - Mar Del Plata,122,6149,5082
2019,Rosario - Marcos Juarez,51,1844,1589
2019,Rosario - Mendoza,117,6129,5243
2019,Rosario - Merlo,168,8947,7230
2019,Rosario - Parana,801,36960,31010
