fecha,localidad_origen,provincia_origen,pais_origen,localidad_destino,provincia_destino,pais_destino,par_origen_destino,ruta_clasificacion,descripcion,asientos,pasajeros
2024-01-12,Olavarria,Buenos Aires,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,olavarria - ciudad autonoma de buenos aires,Porteñas,Ejecutivo / Suite,43,37
2024-01-12,Roque Saenz Peña,Chaco,Argentina,Florencio Varela,Buenos Aires,Argentina,roque saenz peña - florencio varela,Intrafederales,Común / Común con aire / Semicama,60,52
2024-01-12,Formosa,Formosa,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,formosa - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,60,64
2024-01-14,Villa Cura Brochero,Córdoba,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,villa cura brochero - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,56,67
2024-01-15,Villa Cura Brochero,Córdoba,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,villa cura brochero - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,56,78
2024-01-12,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,Mar Del Plata,Buenos Aires,Argentina,ciudad autonoma de buenos aires - mar del plata,Porteñas,Común / Común con aire / Semicama,60,35
2024-01-12,San Salvador De Jujuy,Jujuy,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,san salvador de jujuy - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,62,55
2024-01-13,Roque Saenz Peña,Chaco,Argentina,Florencio Varela,Buenos Aires,Argentina,roque saenz peña - florencio varela,Intrafederales,Común / Común con aire / Semicama,60,52
2024-01-12,Formosa,Formosa,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,formosa - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,58,43
2024-01-16,San Fernando Del Valle De Catamarca,Catamarca,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,san fernando del valle de catamarca - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,56,60
2024-01-17,San Fernando Del Valle De Catamarca,Catamarca,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,san fernando del valle de catamarca - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,56,45
2024-01-20,San Fernando Del Valle De Catamarca,Catamarca,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,san fernando del valle de catamarca - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,56,44
2024-01-13,Rosario,Santa Fe,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,rosario - ciudad autonoma de buenos aires,Porteñas,Ejecutivo / Suite,42,25
2024-01-14,San Carlos De Bariloche,Río Negro,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,san carlos de bariloche - ciudad autonoma de buenos aires,Porteñas,Ejecutivo / Suite,42,68
2024-01-14,Puerto Iguazú,Misiones,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,puerto iguazu - ciudad autonoma de buenos aires,Porteñas,Ejecutivo / Suite,42,43
2024-01-13,Mercedes,Corrientes,Argentina,La Plata,Buenos Aires,Argentina,mercedes - la plata,Intrafederales,Común / Común con aire / Semicama,37,40
2024-01-12,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,Miramar,Buenos Aires,Argentina,ciudad autonoma de buenos aires - miramar,Porteñas,Común / Común con aire / Semicama,45,41
2024-01-12,Santa Rosa,La Pampa,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,santa rosa - ciudad autonoma de buenos aires,Porteñas,Ejecutivo / Suite,32,24
2024-01-12,Paraná,Entre Ríos,Argentina,Bahia Blanca,Buenos Aires,Argentina,parana - bahia blanca,Intrafederales,Común / Común con aire / Semicama,56,59
